2024-12-02 18:27:38,343 - ModelTrainer - INFO - [Epoch 16] Average Loss: 0.2730, Accuracy: 90.42%
2024-12-02 18:27:51,282 - ModelTrainer - INFO - [Epoch 17] Average Loss: 0.2694, Accuracy: 90.51%
2024-12-02 18:27:51,282 - ModelTrainer - INFO - [Epoch 17] Average Loss: 0.2694, Accuracy: 90.51%
2024-12-02 18:28:04,313 - ModelTrainer - INFO - [Epoch 18] Average Loss: 0.2677, Accuracy: 90.50%
2024-12-02 18:28:04,313 - ModelTrainer - INFO - [Epoch 18] Average Loss: 0.2677, Accuracy: 90.50%
2024-12-02 18:28:17,330 - ModelTrainer - INFO - [Epoch 19] Average Loss: 0.2662, Accuracy: 90.67%
2024-12-02 18:28:17,330 - ModelTrainer - INFO - [Epoch 19] Average Loss: 0.2662, Accuracy: 90.67%
2024-12-02 18:28:30,348 - ModelTrainer - INFO - [Epoch 20] Average Loss: 0.2634, Accuracy: 90.68%
2024-12-02 18:28:30,348 - ModelTrainer - INFO - [Epoch 20] Average Loss: 0.2634, Accuracy: 90.68%
2024-12-02 18:28:31,180 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:28:31,180 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:28:32,169 - ModelTrainer - INFO - Test Loss: 0.3838, Test Accuracy: 87.93%
2024-12-02 18:28:32,169 - ModelTrainer - INFO - Test Loss: 0.3838, Test Accuracy: 87.93%
2024-12-02 18:29:57,975 - DataLoader - INFO - Loading data...
2024-12-02 18:30:12,225 - ModelTrainer - INFO - [Epoch 1] Average Loss: 1.3989, Accuracy: 52.32%
2024-12-02 18:30:25,271 - ModelTrainer - INFO - [Epoch 2] Average Loss: 1.0644, Accuracy: 63.48%
2024-12-02 18:30:38,304 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.9154, Accuracy: 68.56%
2024-12-02 18:30:51,337 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.9568, Accuracy: 67.28%
2024-12-02 18:31:04,371 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.8294, Accuracy: 71.56%
